user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,False,No reason provided.,cropped_or_obstructed;possible_manipulation,dent,rear_bumper,contradicted,"img_1 shows significant damage to the rear bumper and trunk of the car, which contradicts the user's claim of a new dent on the rear bumper area. The image appears to show a more extensive damage than described.",none,False,high
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,False,No reason provided.,blurry_image;damage_not_visible;claim_mismatch,scratch,front_bumper,contradicted,"img_1 shows a damaged front bumper with scratches and marks, but img_2 shows a clean front bumper with no visible damage. The user's claim of a scratch on the front bumper is contradicted by the clear image showing no damage.",none,False,low
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,True,No reason provided.,blurry_image;possible_manipulation,glass_shatter,windshield,supported,"img_1 clearly shows a cracked windshield with multiple cracks spreading from a central point, supporting the user's claim of a stone hitting the windshield and causing damage. img_2 shows the windshield wiper area but does not provide additional evidence of damage.",none,True,high
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,True,No reason provided.,none,crack,side_mirror,supported,No justification provided.,none,True,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,True,No reason provided.,user_history_risk,dent,rear_bumper,supported,No justification provided.,none,True,low
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,False,No reason provided.,wrong_angle;damage_not_visible,unknown,unknown,not_enough_information,The submitted image img_1 does not show the headlight of the car clearly enough to inspect for cracks or damage. The image shows the side of the car from a distance and from an angle that does not allow for an assessment of the headlight condition.,none,False,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,True,No reason provided.,blurry_image;possible_manipulation,dent,door,supported,"img_2 shows a clear dent on the door panel area of the car, which matches the user's claim. img_1 is blurry and does not provide clear evidence.",none,True,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,False,No reason provided.,blurry_image;wrong_object;damage_not_visible;claim_mismatch;possible_manipulation;non_original_image;text_instruction_present;user_history_risk;manual_review_required,unknown,unknown,contradicted,"The image provided (img_1) does not match the user's claim of a scratch on the hood of the car. The image shows a severely damaged vehicle with significant damage to the front end, including the hood, bumper, and headlight area, which contradicts the user's description of a scratch across the top panel of the hood. The image is not clear enough to assess the claimed condition properly due to its poor quality and the extensive damage visible.",none,False,unknown
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,True,No reason provided.,none,glass_shatter,screen,supported,"img_1 clearly shows a cracked laptop screen, supporting the user's claim of a damaged display.",none,True,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,True,No reason provided.,blurry_image;possible_manipulation,broken_part,hinge,supported,No justification provided.,none,True,medium
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,True,No reason provided.,blurry_image;possible_manipulation,stain,keyboard,supported,"img_1 shows water droplets and a stain on the keyboard, supporting the user's claim of water damage to the keyboard area.",none,True,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,True,No reason provided.,blurry_image;user_history_risk,dent,corner,supported,"img_2 shows a dent on the corner of the laptop, which matches the user's claim. img_1 does not provide additional relevant information but does show the laptop is intact before closer inspection.",none,True,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,True,No reason provided.,none,glass_shatter,screen,supported,No justification provided.,none,True,high
